 Richard Blumenthal ,D
 Richard Burr ,R
 Richard Hudson ,R
 Richard Neal ,D
 Richard Shelby ,R
 Rick Crawford ,R
 Rick Larsen ,D
 Rick Nolan ,D
 Rick Allen,R
 Ro Khanna ,D
 Rob Bishop ,R
 Rob Portman ,R
 Rob Wittman ,R
 Rob Woodall ,R
 Robert Aderholt ,R
 Robert Pittenger ,R
 Robin Kelly ,D
 Rod Blum ,R
 Rodney Davis ,R
 Rodney Frelinghuysen ,R
 Roger Marshall ,R
 Roger Wicker ,R
 Roger Williams ,R
 Ron DeSantis ,R
 Ron Johnson ,R
 Ron Kind ,D
 Ron Wyden ,D
 Rosa DeLauro ,D
 Roy Blunt ,R
 Ruben Gallego ,D
 Ruben Kihuen ,D
 Ryan Costello ,R
 Ryan Zinke ,R
 Salud Carbajal ,D
 Sam Graves ,R
 Sam Johnson ,R
 Sander Levin ,D
 Sanford Bishop ,D
 Scott DesJarlais ,R
 Scott Perry ,R
 Scott Peters ,D
 Scott Taylor ,R
 Scott Tipton ,R
 Sean Duffy ,R
 Sean Patrick Maloney ,D
 Seth Moulton ,D
 Sheila Jackson Lee ,D
 Sheldon Whitehouse ,D
 Shelley Moore Capito ,R
 Sherrod Brown ,D
 Stacey Plaskett ,D
 Steny Hoyer ,D
 Stephanie Murphy ,D
 Stephen Lynch,D
 Steve Chabot ,R
 Steve Cohen ,D
 Steve Daines ,R
 Steve King ,R
 Steve Knight ,R
 Steve Pearce ,R
 Steve Russell ,R
 Steve Scalise ,R
 Steve Stivers ,R
 Steve Womack ,R
 Steven Palazzo ,R
 Susan Brooks ,R
 Susan Collins ,R
 Susan Davis ,D
 Suzan DelBene ,D
 Suzanne Bonamici ,D
 Tammy Baldwin ,D
 Tammy Duckworth ,D
 Ted Budd ,R
 Ted Cruz ,R
 Ted Deutch ,D
 Ted Lieu ,D
 Ted Poe ,R
 Ted Yoho ,R
 Terri Sewell ,D
 Thad Cochran ,R
 Thom Tillis ,R
 Thomas Massie ,R
 Thomas Suozzi ,D
 Tim Kaine ,D
 Tim Murphy ,R
 Tim Ryan ,D
 Tim Scott ,R
 Tim Walberg ,R
 Tim Walz ,D
 Todd Rokita ,R
 Todd Young ,R
 Tom Carper ,D
 Tom Cole ,R
 Tom Cotton ,R
 Tom Emmer ,R
 Tom Garrett,R
 Tom Graves ,R
 Tom MacArthur ,R
 Tom Marino ,R
 Tom McClintock ,R
 Tom O'Halleran ,D
 Tom Price ,R
 Tom Reed ,R
 Tom Rice ,R
 Tom Rooney ,R
 Tom Udall ,D
 Tony Cárdenas ,D
 Trent Franks ,R
 Trent Kelly ,R
 Trey Gowdy ,R
 Trey Hollingsworth ,R
 Tulsi Gabbard ,D
 Val Demings ,D
 Vern Buchanan ,R
 Vicente González ,D
 Vicky Hartzler ,R
 Virginia Foxx ,R
 Walter Jones,R
 Warren Davidson ,R
 Will Hurd ,R
 Xavier Becerra ,D
 Yvette Clarke ,D
 Zoe Lofgren ,D
Hillary Clinton,D
Bill Clinton,D
George Bush,R
Jimmy Carter,D
Donald Trump,R
Mike Pence,R
Nikki Haley,R
Barack Obama,D
Arnold Schwarzenegger,R
Joe Biden,D
Ben Carson,R
Al Gore,D
Sarah Palin,R
Mitt Romney,R
Mike Pompeo,R
Steve Mnuchin,R
Wilbur Ross,R
Betsy DeVos,R
Gina Haspel,R
Brett Kavanaugh,A
Rex Tillerson,R
John Roberts,A
Clarence Thomas,A
Ruth Bader Ginsburg,A
Stephen Breyer,A
Samuel Alito,A
Sonia Sotomayor,A
Elena Kagan,A
Neil Gorsuch,A
Antonin Scalia,A
